TranscriptID;ICR_expectedCount;ICR_TPM;ICR2_expectedCount;ICR2_TPM;ICR3_expectedCount;ICR3_TPM;ICR4_expectedCount;ICR4_TPM
MCU_012057-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012058-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012059-RA;1089.00;83.33;1494.00;94.38;1334.00;101.97;1106.00;102.87
MCU_012060-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012061-RA;0.00;0.00;5.00;0.87;1.00;0.21;1.00;0.25
MCU_012062-RA;99.00;23.07;180.00;34.26;78.00;18.13;72.00;20.01
MCU_012063-RA;12013.00;1224.29;11901.00;999.41;11245.00;1144.53;11773.00;1453.72
MCU_012064-RA;89.47;1.89;110.20;1.93;136.86;2.89;102.06;2.64
MCU_012065-RA;114.53;1.82;161.80;2.13;128.14;2.03;65.94;1.28
MCU_012066-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012067-RA;202.00;7.14;319.00;9.33;302.00;10.67;128.00;5.53
MCU_012068-RA;283.00;23.60;326.00;22.43;255.00;21.24;186.00;18.84
MCU_012069-RA;157.00;16.54;253.00;21.96;262.00;27.57;137.00;17.48
MCU_012070-RA;140.00;7.36;210.00;9.13;181.00;9.51;123.00;7.89
MCU_012071-RA;38.00;1.65;52.00;1.87;32.00;1.39;27.00;1.43
MCU_012072-RA;135.00;8.26;241.00;12.19;118.00;7.22;90.00;6.71
MCU_012073-RA;0.00;0.00;25.57;1.29;36.19;2.21;27.10;2.02
MCU_012073-RB;165.27;9.62;140.38;6.75;143.45;8.34;72.48;5.14
MCU_012073-RC;366.49;23.93;349.12;18.83;373.65;24.37;239.52;19.04
MCU_012073-RD;156.25;9.44;213.92;10.68;171.71;10.36;89.90;6.62
MCU_012074-RA;447.95;50.88;536.00;50.13;367.00;41.63;339.46;46.65
MCU_012076-RA;367.00;28.32;506.00;32.23;319.00;24.59;232.00;21.76
MCU_012077-RA;181.00;5.67;384.00;9.97;353.00;11.05;131.00;5.02
MCU_012079-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012080-RA;49.00;14.93;95.00;23.55;58.00;17.62;69.00;24.90
MCU_012081-RA;0.00;0.00;0.00;0.00;3.00;0.43;0.00;0.00
MCU_012083-RA;57.00;17.95;98.00;25.09;69.00;21.66;81.00;30.17
MCU_012084-RA;0.00;0.00;0.00;0.00;6.00;0.45;0.00;0.00
MCU_012085-RA;1.00;0.07;5.00;0.29;23.00;1.60;0.00;0.00
MCU_012086-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012087-RA;4.00;1.94;4.00;1.57;10.81;5.22;1.00;0.57
MCU_012089-RA;77.00;47.69;111.00;55.28;63.00;38.84;50.00;35.85
MCU_012090-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012091-RA;268.00;75.87;240.00;55.33;225.00;63.52;319.00;107.16
MCU_012092-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012093-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012094-RA;5.00;0.93;1.00;0.15;3.00;0.56;1.00;0.22
MCU_012095-RA;72.00;2.43;128.00;3.58;130.00;4.39;65.00;2.68
MCU_012096-RA;74.00;8.05;106.00;9.50;180.00;19.55;45.00;5.93
MCU_012097-RA;0.00;0.00;0.00;0.00;5.43;0.10;6.69;0.14
MCU_012097-RB;130.00;2.57;160.00;2.62;210.57;4.16;64.31;1.55
MCU_012098-RA;63.00;4.83;83.00;5.25;51.00;3.90;44.00;4.10
MCU_012099-RA;205.00;26.03;250.00;26.11;243.00;30.81;194.00;29.75
MCU_012100-RA;394.00;14.52;530.00;16.18;531.00;19.56;250.00;11.26
MCU_012101-RA;0.00;0.00;0.00;0.00;1.06;0.13;0.00;0.00
MCU_012102-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012103-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012104-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012106-RA;364.91;67.38;458.91;69.42;539.96;99.50;340.00;75.29
MCU_012107-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012108-RA;134.00;12.17;336.00;25.17;222.00;20.14;142.00;15.65
MCU_012110-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012110-RB;547.49;14.75;774.00;17.27;673.00;18.12;285.00;9.39
MCU_012110-RC;8.51;0.22;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012111-RA;181.23;14.80;277.32;18.69;133.66;10.90;122.80;12.18
MCU_012111-RB;15.77;1.35;14.68;1.03;27.34;2.33;26.20;2.72
MCU_012112-RA;0.00;0.00;2.00;7.50;0.00;0.00;0.00;0.00
MCU_012113-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012114-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012115-RA;1.84;4.31;4.11;7.58;0.00;0.00;9.36;24.19
MCU_012117-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012119-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012120-RA;619.00;48.77;429.00;27.90;555.00;43.68;268.00;25.66
MCU_012122-RA;389.89;5.34;444.43;5.05;448.57;6.14;262.98;4.41
MCU_012122-RB;86.18;1.56;116.24;1.75;175.83;3.19;41.77;0.93
MCU_012123-RA;6.00;5.64;8.00;6.01;1.00;0.93;2.00;2.15
MCU_012124-RA;1.00;0.51;0.00;0.00;2.00;1.02;0.00;0.00
MCU_012125-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
MCU_012126-RA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00
