TranscriptID B1_expectedCount B1_TPM B2_expectedCount B2_TPM B3_expectedCount B3_TPM B4_expectedCount B4_TPM
MCOS_0000054201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000054301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000054601-mRNA-1 0.41 0.15 2.34 0.99 0.09 0.06 0.61 0.29
MCOS_0000056601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.47
MCOS_0000057801-mRNA-1 3.00 0.00 1.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000058001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000058101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000059501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000059601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000060201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000060401-mRNA-1 0.00 0.00 5.07 1.26 0.42 0.16 2.75 0.76
MCOS_0000060501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000060701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000062101-mRNA-1 83.19 26.93 152.36 55.41 69.14 37.17 145.64 59.16
MCOS_0000062401-mRNA-1 624.42 47.50 1300.13 107.25 574.74 70.85 1089.27 99.46
MCOS_0000062701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000063301-mRNA-1 3449.00 4266.86 1690.00 2454.89 1976.00 4146.50 1798.00 2927.35
MCOS_0000064201-mRNA-1 255.08 32.13 239.46 32.97 115.24 23.66 171.23 26.17
MCOS_0000067201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000067401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 2.00 0.31
MCOS_0000068101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0000068501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
