TranscriptID B1_expectedCount B1_TPM B2_expectedCount B2_TPM B3_expectedCount B3_TPM B4_expectedCount B4_TPM
MCOS_0001020101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.45
MCOS_0001020401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001020601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001021001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001021301-mRNA-1 1.00 0.21 1.00 0.24 1.00 0.35 1.00 0.26
MCOS_0001022601-mRNA-1 8.43 3.20 8.62 3.70 9.58 6.06 10.38 4.97
MCOS_0001022901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001024401-mRNA-1 4.99 6.18 5.00 7.26 1.00 2.10 4.00 6.51
MCOS_0001027101-mRNA-1 115.73 16.11 173.48 26.47 105.77 24.05 174.22 29.52
MCOS_0001027401-mRNA-1 2.00 0.35 0.00 0.00 0.00 0.00 1.00 0.21
MCOS_0001027501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001027801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001028201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001028301-mRNA-1 4.00 0.40 6.00 0.65 5.00 0.81 8.00 0.96
MCOS_0001028601-mRNA-1 660.00 93.20 807.00 124.91 448.00 103.32 761.00 130.82
MCOS_0001028701-mRNA-1 414.00 22.94 849.00 50.84 417.00 37.35 803.00 53.17
MCOS_0001028901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001029901-mRNA-1 0.00 0.00 1.00 0.24 0.00 0.00 0.00 0.00
MCOS_0001030101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001030801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001031101-mRNA-1 0.00 0.00 1.00 0.36 0.00 0.00 2.00 0.80
MCOS_0001032801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001033201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 3.00 0.77
MCOS_0001033301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001034001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001034101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001034401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001035201-mRNA-1 52.06 5.75 65.75 7.92 36.65 6.59 59.04 7.89
MCOS_0001036801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001037601-mRNA-1 2.00 0.32 2.00 0.35 0.00 0.00 2.00 0.39
MCOS_0001039601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001039801-mRNA-1 31.00 8.46 9.00 2.74 5.00 2.26 9.00 3.06
MCOS_0001039901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001040501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001040601-mRNA-1 0.00 0.00 0.00 0.00 0.08 0.04 0.00 0.00
MCOS_0001040901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001041501-mRNA-1 63.00 20.83 42.00 15.62 33.00 18.13 47.00 19.52
MCOS_0001041701-mRNA-1 13.00 1.21 34.65 3.52 13.00 1.97 21.00 2.36
MCOS_0001042101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001042301-mRNA-1 0.00 0.00 2.00 0.50 0.00 0.00 1.00 0.28
MCOS_0001042401-mRNA-1 0.00 0.00 1.00 0.52 0.00 0.00 4.00 2.31
MCOS_0001042501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001042801-mRNA-1 4.00 1.01 3.00 0.84 2.00 0.83 4.00 1.25
MCOS_0001043301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001043401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001043501-mRNA-1 153.85 127.20 52.99 50.83 70.58 98.53 58.60 62.99
MCOS_0001044501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001045501-mRNA-1 113.76 10.82 368.20 38.08 154.52 23.86 299.22 34.29
MCOS_0001045601-mRNA-1 3.69 0.92 3.67 1.02 1.19 0.49 13.15 4.07
MCOS_0001045801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001045901-mRNA-1 0.00 0.00 2.00 0.41 4.00 1.22 1.00 0.23
MCOS_0001046001-mRNA-1 0.00 0.00 3.00 7.21 0.00 0.00 3.00 8.08
MCOS_0001046801-mRNA-1 0.00 0.00 2.00 0.19 1.00 0.14 1.00 0.10
MCOS_0001046901-mRNA-1 794.00 656.44 481.00 461.43 512.00 714.77 416.00 447.20
MCOS_0001047201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001047401-mRNA-1 262.00 241.56 183.00 196.44 147.00 229.17 142.00 170.83
MCOS_0001048601-mRNA-1 0.00 0.00 7.00 6.96 0.00 0.00 4.00 4.46
MCOS_0001048901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001049001-mRNA-1 147.00 23.24 301.00 52.31 161.00 41.65 254.00 49.06
MCOS_0001049101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001049801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001049901-mRNA-1 5.00 1.74 4.00 1.57 3.00 1.73 8.00 3.50
MCOS_0001050001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001050101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001050201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001050301-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001051401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001051601-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001051801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001052101-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 1.00 6.76
MCOS_0001052901-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001053101-mRNA-1 0.00 0.00 2.00 0.76 2.00 1.12 6.00 2.53
MCOS_0001053501-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001053801-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001054001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001054601-mRNA-1 9.00 1.04 19.94 2.52 5.98 1.13 11.00 1.54
MCOS_0001055001-mRNA-1 58.95 7.42 86.16 11.87 30.54 6.27 76.88 11.75
MCOS_0001055201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001055301-mRNA-1 3.00 5.06 2.00 3.99 0.00 0.00 1.00 2.24
MCOS_0001055401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001055701-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001056401-mRNA-1 28.14 4.92 62.07 11.96 32.39 9.28 52.67 11.29
MCOS_0001057101-mRNA-1 118.04 108.83 107.42 115.31 73.43 114.47 84.05 101.11
MCOS_0001057301-mRNA-1 21.00 101.61 19.00 110.76 9.00 74.18 19.00 124.04
MCOS_0001057601-mRNA-1 113.00 18.46 116.00 20.84 86.00 23.00 92.00 18.37
MCOS_0001057801-mRNA-1 0.00 0.00 1.02 0.62 0.00 0.00 2.00 1.35
MCOS_0001058301-mRNA-1 3.00 0.64 0.00 0.00 1.00 0.35 2.00 0.52
MCOS_0001058901-mRNA-1 47177.18 14215.00 55537.64 18753.57 35087.22 17527.89 55878.87 21066.51
MCOS_0001059001-mRNA-1 433.09 45.80 365.63 42.14 228.61 39.32 278.31 35.56
MCOS_0001059201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001059301-mRNA-1 31.00 10.96 2.00 0.80 7.00 4.12 4.00 1.78
MCOS_0001059401-mRNA-1 108.00 15.93 307.00 49.69 165.00 39.78 366.00 65.81
MCOS_0001059601-mRNA-1 17.00 10.32 55.00 38.34 28.00 28.57 58.00 45.29
MCOS_0001060101-mRNA-1 8.22 6.15 10.09 8.73 8.88 11.19 12.40 12.01
MCOS_0001060401-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001061001-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001061201-mRNA-1 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCOS_0001061301-mRNA-1 0.00 0.00 2.00 0.49 0.00 0.00 2.00 0.55
MCU_000001-RA 4141.00 137.77 3654.00 130.88 2771.00 148.62 3126.00 123.66
MCU_000003-RA 21.97 0.84 68.42 2.81 36.67 2.26 85.51 3.88
MCU_000003-RB 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000005-RA 0.00 0.00 14.00 0.45 3.00 0.14 0.00 0.00
MCU_000005-RB 4.00 0.14 0.00 0.00 0.00 0.00 11.00 0.47
MCU_000006-RA 297.00 44.48 345.00 56.71 218.00 53.37 297.00 54.24
MCU_000007-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000007-RB 564.53 17.21 1708.11 56.03 478.30 23.50 1253.59 45.41
MCU_000008-RA 111.47 1.16 499.89 5.56 170.70 2.84 396.41 4.86
MCU_000009-RA 127.60 1.62 249.09 3.39 75.76 1.55 171.12 2.57
MCU_000009-RB 0.00 0.00 123.44 1.48 55.19 0.99 0.00 0.00
MCU_000009-RC 0.00 0.00 48.74 0.57 0.00 0.00 252.88 3.25
MCU_000009-RD 11.40 0.13 19.73 0.23 9.06 0.16 0.00 0.00
MCU_000009-RE 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000010-RA 0.00 0.00 41.10 2.14 6.44 0.50 50.70 2.91
MCU_000010-RB 5718.34 278.18 6464.39 339.43 4058.56 318.88 5936.57 344.55
MCU_000010-RC 6.66 0.30 18.50 0.88 0.00 0.00 3.73 0.20
MCU_000011-RA 11.00 0.44 51.00 2.19 10.00 0.64 46.00 2.18
MCU_000012-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000013-RA 0.00 0.00 18.22 0.38 5.20 0.16 21.62 0.50
MCU_000013-RB 365.00 15.32 614.78 27.82 264.80 17.94 529.38 26.47
MCU_000013-RC 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000014-RA 46.04 0.87 115.59 2.34 38.58 1.17 77.19 1.72
MCU_000014-RB 696.96 15.68 1221.41 29.53 552.42 20.01 1152.81 30.77
MCU_000014-RC 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000015-RA 100.13 3.54 41.15 1.57 36.63 2.09 59.03 2.48
MCU_000015-RB 0.00 0.00 0.00 0.00 57.37 2.36 194.29 5.90
MCU_000015-RC 19.43 0.49 284.02 7.72 0.00 0.00 0.00 0.00
MCU_000015-RD 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000015-RE 8.44 2.73 12.84 4.67 1.00 0.54 5.67 2.31
MCU_000016-RA 23.02 1.19 59.97 3.33 20.37 1.69 51.68 3.18
MCU_000016-RB 3356.98 174.61 2606.03 146.39 1989.63 167.21 2498.32 155.15
MCU_000017-RA 6.00 0.06 53.00 0.59 7.00 0.12 113.00 1.38
MCU_000018-RA 411.00 3.26 1804.00 15.33 490.00 6.24 1789.00 16.77
MCU_000019-RA 1023.00 94.40 1995.00 200.16 1126.00 168.71 1458.00 162.06
MCU_000020-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000022-RA 502.00 142.09 268.00 84.83 256.00 119.97 261.00 92.20
MCU_000023-RA 2600.00 105.05 4582.27 199.55 2221.00 144.79 3887.00 187.03
MCU_000023-RB 0.00 0.00 5.73 0.23 0.00 0.00 0.00 0.00
MCU_000024-RA 448.00 21.53 1220.77 63.31 359.92 27.93 956.00 54.80
MCU_000024-RB 0.00 0.00 0.00 0.00 2.08 0.22 0.00 0.00
MCU_000024-RC 0.00 0.00 1.23 0.11 0.00 0.00 0.00 0.00
MCU_000025-RA 188.49 11.69 204.11 13.69 124.07 12.45 192.06 14.25
MCU_000025-RB 61.51 1.35 613.89 14.44 150.93 5.32 465.94 12.10
MCU_000026-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000026-RB 282.00 14.69 445.63 25.08 227.00 19.11 383.64 23.87
MCU_000026-RC 0.00 0.00 6.37 0.33 0.00 0.00 5.36 0.31
MCU_000027-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000027-RB 8602.03 283.65 17550.28 623.01 7724.00 410.58 15232.23 597.19
MCU_000027-RC 0.00 0.00 2.72 0.06 0.00 0.00 10.77 0.27
MCU_000027-RD 2.97 0.07 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000028-RA 94.11 1.85 255.09 5.38 63.89 2.02 175.70 4.09
MCU_000028-RB 361.91 7.18 1231.58 26.25 408.95 13.06 980.00 23.06
MCU_000028-RC 0.00 0.00 1.56 0.03 0.00 0.00 0.00 0.00
MCU_000028-RD 0.00 0.00 8.44 0.18 0.00 0.00 0.00 0.00
MCU_000028-RE 3.98 0.07 16.32 0.32 5.15 0.15 22.30 0.49
MCU_000029-RA 22.60 1.58 7.81 0.59 14.24 1.61 18.99 1.59
MCU_000029-RB 1072.40 74.52 796.19 59.92 621.76 69.96 715.01 59.55
MCU_000030-RA 0.00 0.00 2.63 0.05 0.00 0.00 0.00 0.00
MCU_000030-RB 6.00 0.08 5.25 0.07 0.00 0.00 10.00 0.15
MCU_000030-RC 0.00 0.00 9.12 0.14 3.00 0.07 0.00 0.00
MCU_000030-RD 0.00 0.00 2.00 0.31 0.00 0.00 0.00 0.00
MCU_000030-RE 0.00 0.00 0.00 0.00 0.00 0.00 1.00 0.07
MCU_000030-RF 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000031-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000032-RA 135.55 3.42 217.52 5.90 109.26 4.44 237.18 7.10
MCU_000032-RB 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000032-RC 56.45 1.44 306.48 8.40 85.74 3.52 236.82 7.16
MCU_000033-RA 41.00 3.31 102.00 8.94 31.00 4.06 85.00 8.24
MCU_000034-RA 312.98 14.32 345.31 17.05 229.27 16.94 450.15 24.56
MCU_000034-RB 321.02 14.62 255.69 12.56 133.73 9.83 97.85 5.31
MCU_000035-RA 0.00 0.00 6.44 0.13 0.00 0.00 11.58 0.25
MCU_000035-RB 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000035-RC 179.00 3.47 535.56 11.14 171.00 5.33 459.42 10.55
MCU_000036-RA 180.00 5.21 337.00 10.49 149.00 6.94 317.00 10.89
MCU_000037-RA 17.00 0.27 103.00 1.77 18.00 0.46 79.00 1.50
MCU_000038-RA 3.41 0.12 5.16 0.19 10.14 0.55 7.57 0.30
MCU_000038-RB 647.81 24.90 1162.84 48.17 513.10 31.82 1066.43 48.80
MCU_000038-RC 0.00 0.00 2.00 0.21 0.00 0.00 11.00 1.26
MCU_000038-RD 157.78 28.33 0.00 0.00 25.76 7.59 0.00 0.00
MCU_000039-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000039-RB 0.00 0.00 42.49 1.05 26.75 0.99 106.26 2.89
MCU_000039-RC 77.00 2.17 92.51 2.80 25.25 1.15 12.74 0.43
MCU_000040-RA 2.00 2.26 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000041-RA 74.00 0.94 358.00 4.87 122.00 2.49 299.00 4.49
MCU_000042-RA 50.00 1.24 167.72 4.47 46.00 1.84 115.88 3.41
MCU_000042-RB 0.00 0.00 44.76 0.66 0.00 0.00 64.09 1.04
MCU_000042-RC 0.00 0.00 30.52 0.42 0.00 0.00 17.42 0.26
MCU_000042-RD 6.00 0.15 0.00 0.00 13.00 0.53 6.62 0.20
MCU_000043-RA 0.00 0.00 1.00 0.08 0.00 0.00 2.00 0.17
MCU_000044-RA 1058.00 93.56 585.00 56.21 495.00 71.04 554.00 58.96
MCU_000046-RA 194.00 7.51 362.00 15.10 180.00 11.24 320.00 14.75
MCU_000047-RA 18.00 0.46 51.00 1.40 24.00 0.99 42.00 1.27
MCU_000048-RA 1759.00 83.12 3068.00 156.44 1443.00 110.11 2886.00 162.65
MCU_000049-RA 0.00 0.00 0.00 0.00 0.00 0.00 7.80 0.36
MCU_000049-RB 29.28 1.15 126.00 5.34 25.05 1.59 88.54 4.14
MCU_000049-RC 11.72 1.46 0.00 0.00 0.95 0.19 5.66 0.85
MCU_000050-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000051-RA 2397.00 130.99 3275.00 193.37 1720.00 151.92 3007.00 196.31
MCU_000052-RA 8.73 0.46 0.00 0.00 8.52 0.73 6.68 0.42
MCU_000052-RB 13.22 0.75 10.52 0.64 0.00 0.00 8.27 0.56
MCU_000052-RC 30.05 1.77 34.48 2.19 14.48 1.38 35.05 2.46
MCU_000053-RA 8226.00 363.53 18100.00 862.72 8392.00 598.66 16532.00 870.78
MCU_000054-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000054-RB 0.00 0.00 74.11 1.17 33.56 0.79 0.00 0.00
MCU_000054-RC 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000054-RD 4.32 0.06 157.89 2.53 23.44 0.56 122.27 2.16
MCU_000054-RE 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000054-RF 38.68 0.49 23.00 0.31 0.00 0.00 25.73 0.38
MCU_000054-RG 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000055-RA 12.00 0.37 55.00 1.80 10.00 0.49 25.00 0.90
MCU_000056-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000057-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000058-RA 113.33 8.10 207.52 16.08 97.75 11.32 141.93 12.17
MCU_000058-RB 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000058-RC 12.67 0.26 175.48 3.90 56.25 1.87 153.77 3.77
MCU_000058-RD 0.00 0.00 0.00 0.00 0.00 0.00 15.30 0.36
MCU_000059-RA 409.00 10.39 584.00 15.95 268.00 10.96 609.00 18.36
MCU_000060-RA 10.00 0.78 20.00 1.69 3.00 0.38 12.00 1.12
MCU_000061-RA 7.00 1.59 5.00 1.26 2.00 0.75 1.00 0.28
MCU_000062-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000063-RA 0.00 0.00 26.46 0.62 4.40 0.15 35.00 0.91
MCU_000063-RB 13.00 0.37 23.54 0.71 11.60 0.53 0.00 0.00
MCU_000064-RA 517.00 14.04 1595.00 46.58 531.00 23.23 1254.00 40.43
MCU_000065-RA 7.06 0.25 40.47 1.56 9.60 0.56 60.38 2.58
MCU_000065-RB 604.94 26.56 804.53 38.09 476.40 33.76 670.62 35.09
MCU_000066-RA 44.80 0.99 122.40 2.90 37.76 1.34 91.00 2.38
MCU_000067-RA 668.00 249.00 407.00 171.29 382.00 237.16 382.00 179.71
MCU_000068-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000069-RA 13.40 1.64 42.29 5.66 16.56 3.31 54.69 8.13
MCU_000069-RB 922.60 76.14 834.71 74.78 610.44 81.70 858.31 85.14
MCU_000070-RA 95.00 2.23 346.00 8.71 112.00 4.22 288.00 8.00
MCU_000071-RA 17.00 0.91 46.00 2.66 26.00 2.25 51.00 3.27
MCU_000072-RA 0.00 0.00 11.95 0.22 5.20 0.15 7.18 0.15
MCU_000072-RB 29.41 0.52 541.30 10.23 132.32 3.75 517.10 10.78
MCU_000072-RC 0.00 0.00 0.00 0.00 0.00 0.00 12.47 0.24
MCU_000072-RD 61.92 1.65 656.58 18.79 266.93 11.44 609.31 19.26
MCU_000072-RE 204.22 5.72 27.92 0.84 0.00 0.00 30.62 1.02
MCU_000072-RF 161.46 10.78 10.24 0.74 19.55 2.11 26.32 2.10
MCU_000073-RA 5.08 0.12 15.37 0.38 3.26 0.12 15.07 0.42
MCU_000073-RB 12.81 0.87 3.76 0.28 11.72 1.28 7.95 0.65
MCU_000073-RC 179.11 10.13 156.87 9.59 67.02 6.13 123.98 8.38
MCU_000074-RA 3.00 0.10 26.00 0.93 9.00 0.48 30.00 1.19
MCU_000075-RA 3.66 0.17 31.82 1.63 3.53 0.27 0.00 0.00
MCU_000075-RB 107.77 7.44 40.89 3.06 13.46 1.50 12.57 1.04
MCU_000075-RC 394.49 16.01 414.38 18.13 259.51 17.00 458.68 22.18
MCU_000075-RD 0.00 0.00 0.00 0.00 0.00 0.00 5.88 0.26
MCU_000075-RE 17.08 0.50 39.91 1.27 2.50 0.12 12.87 0.45
MCU_000076-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000077-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000077-RB 443.00 5.68 1701.00 23.40 489.00 10.08 1500.00 22.77
MCU_000078-RA 51.00 0.40 240.00 2.01 0.00 0.00 213.00 1.97
MCU_000078-RB 0.00 0.00 0.00 0.00 56.00 0.70 0.00 0.00
MCU_000079-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000080-RA 16.00 2.34 20.00 3.21 13.00 3.11 17.00 3.03
MCU_000081-RA 717.00 17.57 2908.00 76.61 846.00 33.39 2421.00 70.41
MCU_000082-RA 28.44 0.74 319.00 8.98 28.19 1.19 194.00 6.03
MCU_000082-RB 69.56 1.96 0.00 0.00 77.81 3.53 0.00 0.00
MCU_000083-RA 1.00 0.29 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000084-RA 14.99 0.35 166.02 4.18 39.69 1.50 127.33 3.54
MCU_000084-RB 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000085-RA 1.00 0.58 1.00 0.66 0.00 0.00 2.47 1.83
MCU_000086-RA 217.01 3.86 443.98 8.48 196.31 5.62 349.67 7.37
MCU_000088-RA 0.00 0.00 12.00 2.85 3.00 1.06 5.00 1.32
MCU_000089-RA 102.43 3.63 430.00 16.43 160.00 9.15 377.00 15.91
MCU_000089-RB 21.57 0.90 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000090-RA 25.00 0.71 0.00 0.00 21.00 0.96 0.00 0.00
MCU_000090-RB 0.00 0.00 68.00 2.06 0.00 0.00 49.00 1.64
MCU_000090-RC 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000090-RD 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000091-RA 169.00 4.08 528.11 13.72 191.17 7.44 414.25 11.88
MCU_000091-RB 0.00 0.00 34.40 0.86 0.00 0.00 83.38 2.31
MCU_000091-RC 0.00 0.00 99.50 2.49 14.83 0.56 69.36 1.92
MCU_000092-RA 438.92 7.36 483.28 8.70 277.94 7.50 431.20 8.57
MCU_000092-RB 150.26 34.18 146.02 36.88 103.10 38.64 148.67 41.84
MCU_000093-RA 10.10 1.26 4.48 0.61 9.96 2.03 1.16 0.18
MCU_000094-RA 68.80 3.72 78.44 4.58 59.24 5.18 86.80 5.61
MCU_000094-RB 87.10 1.39 280.07 4.78 108.80 2.78 216.41 4.08
MCU_000094-RC 0.00 0.00 206.02 4.92 0.00 0.00 163.63 4.31
MCU_000096-RA 370.00 18.16 477.00 25.28 238.00 18.87 431.00 25.24
MCU_000097-RA 222.20 14.06 333.80 22.85 207.11 21.20 337.89 25.59
MCU_000098-RA 290.80 7.23 372.20 9.95 206.89 8.29 317.11 9.36
MCU_000099-RA 72.00 1.03 400.00 6.13 102.00 2.34 310.00 5.24
MCU_000100-RA 110.76 3.18 116.56 3.60 98.16 4.54 68.37 2.33
MCU_000100-RB 57.24 1.54 237.44 6.89 32.84 1.43 229.63 7.36
MCU_000100-RC 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000101-RA 18.00 1.32 44.00 3.49 16.00 1.90 51.00 4.48
MCU_000103-RA 1371.00 122.89 1103.00 107.44 792.00 115.22 1036.00 111.79
MCU_000104-RA 32.16 1.12 70.82 2.66 54.25 3.05 72.79 3.02
MCU_000104-RB 76.84 1.36 214.39 4.08 98.67 2.81 87.53 1.84
MCU_000104-RC 0.00 0.00 176.79 2.94 16.08 0.40 176.69 3.25
MCU_000106-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000107-RA 90.87 10.15 66.01 8.05 61.60 11.20 79.63 10.76
MCU_000107-RB 3.04 1.29 7.40 3.55 3.74 2.65 6.25 3.36
MCU_000108-RA 107.19 5.81 115.95 6.80 58.17 5.10 59.88 3.88
MCU_000108-RB 14.90 0.22 24.00 0.38 0.00 0.00 0.00 0.00
MCU_000108-RC 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000108-RD 0.00 0.00 206.63 3.24 39.49 0.93 191.24 3.31
MCU_000109-RA 0.00 0.00 0.00 0.00 11.00 0.42 0.00 0.00
MCU_000109-RB 1.00 0.02 10.00 0.26 0.00 0.00 10.00 0.29
MCU_000110-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000111-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000112-RA 258.68 6.33 332.09 8.74 164.05 6.47 214.21 6.22
MCU_000112-RB 24.32 0.38 599.91 9.95 123.95 3.08 560.79 10.26
MCU_000113-RA 91.00 10.50 86.00 10.83 69.00 12.97 85.00 11.88
MCU_000114-RA 5.00 0.24 0.00 0.00 1.01 0.08 0.00 0.00
MCU_000114-RB 0.00 0.00 25.33 0.44 0.00 0.00 17.76 0.34
MCU_000114-RC 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000114-RD 33.00 0.58 281.67 5.34 73.99 2.10 235.24 4.92
MCU_000116-RA 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000117-RA 5.00 0.32 16.00 1.12 0.00 0.00 0.00 0.00
MCU_000117-RB 0.00 0.00 0.00 0.00 0.00 0.00 0.00 0.00
MCU_000118-RA 52.23 0.63 270.34 3.51 43.76 0.85 203.02 2.91
MCU_000118-RB 533.77 10.23 1991.66 41.00 627.24 19.35 1649.98 37.49
MCU_000119-RA 79.00 8.96 80.00 9.90 56.00 10.34 85.00 11.67
