"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IV1","IV2","IV3","IV4","B1","B2","B3","B4"
"1","MCU_005343-RA",2355.58323413922,-6.8137816810192,0.223778294901508,-30.448805072977,1.2423377454771e-203,1.82437297923313e-199,25.3772286350761,44.6258247678166,37.9213664602837,59.931538320917,4863.7923968659,5084.33243247926,4414.35439492394,4314.3306906606
"2","MCU_008757-RA",528.204135327509,-4.33382675575224,0.181720177671408,-23.8489022588828,1.03954912721696e-125,7.63288946659056e-122,55.129841517579,41.0557587863913,47.4017080753546,56.335646021662,1163.75046793413,922.202467515212,1050.42922499635,889.32796777339
"3","MCU_007046-RB",13097.9151428704,-1.08941270567878,0.0526569913168733,-20.6888521055644,4.36480688986723e-95,2.13657297259001e-91,8538.99989727835,8396.79518831238,8161.38908787418,8397.60714952689,18366.7206203958,16626.6545293851,18038.7474872855,18256.4071829051
"4","MCU_013340-RA",29080.3493370042,-4.81561613787308,0.237202240462986,-20.3017312504033,1.24133618159373e-91,4.55725545667599e-88,2207.81889125162,2546.34956125162,1915.02900624433,1306.50753539599,65140.3619766975,49060.0136954902,63945.7650612151,46520.9489684875
"5","MCU_011036-RA",2304.79408046816,-3.56290307168445,0.181567948528045,-19.6229736612027,9.84238090441658e-86,2.89070727162715e-82,389.409198020995,354.329048656464,354.327767863276,339.21250689639,4871.77891968505,3574.33843406524,5196.86037629774,3358.09639226013
"6","MCU_013716-RA",242.673995006345,-4.08998650093439,0.236949711655343,-17.260989567624,9.25118619795834e-67,2.2642278219503e-63,33.2529202804445,25.8829783653336,20.1457259320257,27.5685076276218,435.835959559646,549.848751551957,469.220072164362,379.637044569368
"7","MCU_004110-RA",946.998343935279,-9.70156333912939,0.568903446349194,-17.0530929305964,3.31517107350658e-65,6.95475531634915e-62,2.62523054845614,2.677549486069,2.37008540376773,1.19863076641834,1754.75315655166,2475.28402891635,1165.25347226316,2171.82459754634
"8","MCU_010913-RA",209.799865418832,-4.41558294502762,0.273239502175103,-16.1601192722051,9.63750263803332e-59,1.76908407799399e-55,21.0018443876491,16.9578134117703,21.3307686339096,15.5821999634384,384.494027150787,420.58606259062,494.736571556986,303.709635655494
"9","MCU_005386-RA",1598.17525808682,-7.34306839892042,0.459320210186215,-15.986817553583,1.57893659915789e-57,2.57629821762596e-54,15.7513832907369,23.2054288792646,21.3307686339096,17.9794614962751,4471.31184689595,1782.6675313474,4934.60746587355,1518.54817827747
"10","MCU_011862-RA",5253.99616462211,-3.2812292963308,0.205629345030572,-15.9570089368469,2.54646006394827e-57,3.73947660390804e-54,1021.21468334944,1194.18707078677,996.620912284331,705.993521420403,10617.511622152,8229.08143258344,11238.6003991512,8028.7596752492
"11","MCU_008723-RA",452.967119042943,-2.80705708775702,0.177659569216495,-15.8002020388576,3.10121065833412e-56,4.14011622887605e-53,105.009221938246,118.704693882392,139.835038822296,89.8973074813755,732.47823569972,926.704153200433,792.429064470932,718.679236848149
"12","MCU_004822-RA",980.496158407109,-3.77709703075604,0.252580150673701,-14.9540532804398,1.46550996391004e-50,1.79341781833491e-47,136.511988519719,124.952309349887,151.685465841135,119.863076641834,1769.58527035867,1437.32392949547,2687.73793602305,1416.30929102711
"13","MCU_000195-RA",2413.51077232792,-3.62378802137573,0.24573369547386,-14.7468096078066,3.22556448743385e-49,3.64364726907431e-46,362.281815686948,371.286862068234,393.434177025443,321.233045400115,5983.04652337902,3414.20704326239,5331.53078975881,3131.06592204241
"14","MCU_009410-RA",6314.43556118576,-3.60285474900221,0.257835981396232,-13.9734366378659,2.26431294187419e-44,2.37510253938732e-41,844.449159753393,1094.22522330686,1083.12902952185,819.863444230145,7258.60831078133,16092.2401287539,12195.4691263746,11127.5000667639
"15","MCU_004821-RA",671.011663072369,-6.66454842875467,0.48846419288589,-13.6438832688634,2.1955099992215e-42,2.14940428923785e-39,15.7513832907369,7.14013196285066,20.1457259320257,9.58904613134672,1297.23949219717,739.562648286258,2364.52894371648,914.135933062081
"16","MCU_003186-RA",448.629755877892,1.90310573569631,0.140429896796128,13.5519983929005,7.7102111359855e-42,7.07652815824669e-39,672.934097254258,737.218625164331,724.061090851042,703.596259887566,158.589524551808,219.296402665751,165.857246052055,207.484800596328
"17","MCU_004157-RB",1086.23017948559,-2.90373895977339,0.217596644745731,-13.3445943670984,1.27361943165024e-40,1.03906118632132e-37,185.516292090901,240.086937250853,278.485034942708,322.431676166534,1758.17595204559,2397.46917635754,1885.38578845499,1622.29057857563
"18","MCU_011535-RA",6932.29662562919,-4.35859232941964,0.326571464630363,-13.3465192200825,1.24114197408569e-40,1.03906118632132e-37,646.681791769697,763.101603529664,732.356389764229,435.102968209858,6811.36303290861,18485.2076194263,13152.337853598,14432.2217458272
"19","MCU_004789-RA",7035.75224052394,-1.67831526431561,0.127865676387399,-13.1256120620733,2.34877354539577e-39,1.81535471127036e-36,3243.90988104231,3237.15732865742,3677.18750394563,3243.49485392803,8882.15430673258,12559.0599638107,10926.7320732414,10516.3220128334
"20","MCU_009411-RA",7886.71439666308,-2.98674242956906,0.22854211802065,-13.0686739732551,4.97247493770645e-39,3.65103972301096e-36,1585.63925126751,1927.83562996968,2129.52173528531,1425.17198127141,9576.98179199914,17777.7998688916,14927.152144685,13743.612769935
"21","MCU_006447-RA",704.96094772212,-2.22727991813401,0.17080380759014,-13.0399898547847,7.24666904327674e-39,5.06749213811995e-36,221.394442919801,259.722300148693,309.296145191689,202.5685995247,1249.32035528223,1269.47536323224,1121.30838997586,1006.60198550175
"22","MCU_012854-RA",500.002917535947,-6.27427396708743,0.487558395718697,-12.8687640745857,6.74731658823431e-38,4.5038338226464e-35,19.2516906886784,14.2802639257013,7.11025621130319,9.58904613134672,1460.39274407421,533.128204721137,1360.87996760661,595.391166928592
"23","MCOS_0000616901-mRNA-1",2055.64280126215,5.21757978755469,0.420035517300538,12.4217585719578,1.99135467853251e-35,1.27143667192391e-32,4161.86549615247,4554.51167580336,5165.60113751177,2132.36413345823,42.2144777583951,112.542142130518,158.769329554104,117.274017728359
"24","MCU_007601-RB",1507.30478257335,-1.80786593691743,0.152654107306044,-11.8428908911896,2.3423728291467e-32,1.43323937483414e-29,697.436249039849,743.466240631825,602.001692557003,632.877044668884,2708.57216752513,1935.08174668987,2605.51810464682,2133.48501482746
"25","MCU_007601-RA",1930.2083415326,-1.46786315186697,0.124053721146132,-11.832479818464,2.65189587092887e-32,1.55772363458362e-29,1093.84606185673,1037.10416760406,995.435869582447,970.890920798856,3385.14474349076,2523.51637554372,2843.67209897798,2592.0564944063
"26","MCOS_0001049001-mRNA-1",419.839590742632,1.72663268613564,0.149838889023909,11.5232614001838,1.00724905971279e-30,5.68902016995474e-28,571.425182713954,598.878568384099,665.993998458732,741.952444412953,167.716979202272,193.57248446449,228.230911234025,190.946157070533
"27","MCU_007046-RA",14690.9472972235,-1.13474075681903,0.0986477394146926,-11.5029575289997,1.27471355344475e-30,6.93302538234671e-28,8977.41339887053,9207.20016609593,9179.34076879242,9409.25151638397,23094.742129336,18067.1939486558,20902.2657524578,18690.1706971953
"28","MCU_008018-RA",1003.21743559445,1.15011559808984,0.10230916002796,11.2415701367847,2.54809472324181e-29,1.33638467895735e-26,1346.743271358,1381.6155348116,1358.05893635891,1451.54185813261,531.674233389516,677.825244603231,615.231152022154,663.049254079569
"29","MCU_000211-RA",886.468190151042,-0.875318019054573,0.0781101021923851,-11.2062075773332,3.8013408507403e-29,1.92492035838349e-26,633.555639027416,647.966975628697,660.068784949313,559.760567917365,1140.93183130797,1176.22615975267,1129.8138897734,1143.4216728515
"30","MCU_004109-RA",106.487771273816,-6.38520680983622,0.571184559127145,-11.1788855419932,5.17355774327798e-29,2.53245651533457e-26,5.25046109691229,0.892516495356333,3.5551281056516,0,187.112820334508,167.848566263229,283.516659918044,203.726017976829
"31","MCU_004179-RB",2855.38033690925,-1.53036797436988,0.138109711385666,-11.0808136445698,1.5545339593379e-28,7.3639778041539e-26,1695.02385745318,1617.23988958567,1349.76363744572,1208.21981254969,4559.16359790667,3971.12987231969,4422.85989472148,4019.6421332919
"32","MCU_011868-RA",170.890333937046,-7.3928458297183,0.669274025496737,-11.0460671534822,2.29030008623052e-28,1.05103302394672e-25,1.75015369897076,2.677549486069,0,3.59589229925502,188.253752165816,535.700596541263,348.725491699194,286.4192356058
