"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","IV1","IV2","IV3","IV4","ICR1","ICR2","ICR3","ICR4"
"1","MCU_000195-RA",3813.37436136384,-4.26855565447382,0.127829503807583,-33.3925700040196,1.75747368754293e-244,2.50791495212377e-240,375.533857786482,381.664606578033,406.333411805534,341.091171778239,7608.94333587657,7666.4998243702,7861.11615759315,5865.81252512255
"2","MCU_005343-RA",2351.56899329796,-6.74665771974105,0.288733101031129,-23.36641588944,9.38568955549932e-121,6.69668949784876e-117,26.305511777314,45.8731498290906,39.1646661981237,63.6364126451938,3688.12840905742,4391.00094512031,4125.30684372478,6433.13600803147
"3","MCU_009411-RA",10650.3751499961,-3.40748326609679,0.15730160918046,-21.6621004950283,4.67428092569743e-104,2.22339962699008e-100,1643.64094277562,1981.72007261671,2199.34078618839,1513.27389270271,17492.9390620146,17188.3521607631,21366.5030032431,21817.231279665
"4","MCU_009410-RA",8000.27631761257,-3.91090815204109,0.186170905328081,-21.00708564074,5.64974867407052e-98,2.01554783947466e-94,875.338581555448,1124.8096338093,1118.64077828391,870.546124986251,12181.6573327003,12500.3421098087,16605.2974418156,18725.5785379411
"5","MCU_011036-RA",2093.80457274008,-3.35094722381093,0.165179888342956,-20.2866538864193,1.68693060655715e-91,4.81449995111412e-88,403.653542789818,364.232809642979,365.944849788719,360.182095571797,3287.75687039857,3784.00290106351,3232.29384305203,4952.36966961322
"6","MCU_013340-RA",31318.1609178691,-4.87197591820917,0.240370235000136,-20.2686323379699,2.43325450785036e-91,5.78709030450412e-88,2288.57952462632,2617.52192924791,1977.81564300525,1387.27379566522,45895.7670398131,58995.6287650071,57233.9454775647,80148.7551680232
"7","MCU_004821-RA",944.762149867672,-7.11228497262634,0.362611715165409,-19.614051822297,1.17303944225424e-85,2.39132469156685e-82,16.3275590341949,7.33970397265449,20.8062289177532,10.181826023231,1147.41772726231,2379.89044443401,1956.67030224527,2019.46340705195
"8","MCOS_0000616901-mRNA-1",2129.48437479196,5.23443603669032,0.273882490137929,19.1119776735425,2.00716125399571e-81,3.58027388681485e-78,4314.10393147949,4681.81367155698,5334.96187367567,2264.18356191599,114.93018286207,92.3858658249969,125.496257163952,107.999653856515
"9","MCU_008478-RB",435.817498040219,-2.92713315355005,0.161117797666265,-18.1676586693001,9.3086553000727e-74,1.47593901257819e-70,98.8724408181801,88.0764476718539,102.807248770075,117.090999267157,861.976371465527,652.80921719316,831.030093171046,733.877165964755
"10","MCU_011535-RA",8061.59826195187,-4.53085687622308,0.268035623884237,-16.9039354193454,4.2085672266152e-64,6.00562543237988e-61,670.337007015001,784.430862077449,756.367615951265,462.000355804107,15356.3681215951,9561.55535311104,15703.8670092599,21197.8597708011
"11","MCU_004157-RB",1923.64236649931,-3.74662814648607,0.225400319167012,-16.6221066604169,4.82084302036361e-62,6.25394817278079e-59,192.302361958295,246.797546080507,287.615517392471,342.363900031142,3762.55041271401,2851.74552773854,3158.06739826603,4547.69626781351
"12","MCU_001456-RD",2676.35073941748,7.61543150995487,0.458992781848378,16.5916149689485,8.01362405355015e-62,9.52953460368006e-59,5399.88660725345,5875.43303010992,6777.93504391279,3249.27522966359,36.7399764886946,7.63519552272702,44.3828226555439,19.5180097331052
"13","MCU_011041-RA",271.359333286925,-5.04049241985292,0.317681111552121,-15.8665159386599,1.08076087704743e-56,1.18634290118976e-53,17.2346456472057,15.5968709418908,22.0301247364446,8.90909777032713,568.05655955597,411.537038674986,686.403309000395,441.107019968177
"14","MCU_004822-RA",1040.99780456645,-3.81137374304621,0.244828467716419,-15.5675268427561,1.2099583789981e-54,1.23329329059306e-51,141.505511629689,128.444819521454,156.658664792495,127.272825290388,1154.01208201669,2114.18564024311,2153.33211987415,2352.57077316361
"15","MCU_011868-RA",272.788506711685,-8.01130876737026,0.579938537209821,-13.8140652040714,2.09658169614204e-43,1.99454805359646e-40,1.81417322602165,2.75238898974543,0,3.81818475871163,421.096653601192,441.314301213622,698.646846284683,612.865505619503
"16","MCU_012854-RA",384.97267876111,-5.83107769134969,0.425953640355811,-13.6894655636206,1.17369335073573e-42,1.04678775718743e-39,19.9559054862382,14.679407945309,7.3433749121482,10.181826023231,421.096653601192,803.222568990882,650.437918227799,1152.86377490208
"17","MCU_012212-RA",2769.02274198526,-7.57413900217401,0.566813960286262,-13.3626542972738,9.99359798605325e-41,8.38874372123411e-38,9.07086613010827,48.625538818836,48.9558327476547,8.90909777032713,5825.64140015609,2819.67770654309,6610.74491243524,6780.55658128074
"18","MCU_011862-RA",5400.12663329383,-3.26646355026572,0.246807852255326,-13.2348445173718,5.52108736185264e-40,4.37699536964651e-37,1058.57007738363,1227.56548942646,1029.29638351944,749.636940960383,7805.83192782881,8635.40613620426,8251.37890852983,14443.3272024978
"19","MCU_005386-RA",864.392625135276,-6.39316515844861,0.488068841508206,-13.0989004311211,3.34062247853864e-39,2.50898330361823e-36,16.3275590341949,23.8540379111271,22.0301247364446,19.0909237935581,857.266118069541,1176.58363005223,1176.14480037191,3623.8438071132
"20","MCU_011681-RA",116.503012119342,-3.97082780928042,0.30806659544947,-12.8895111249792,5.15696756316314e-38,3.6794963563169e-35,19.0488188732274,15.5968709418908,8.56727073083957,11.4545542761349,249.643429987284,191.643407620448,248.6968510871,187.37289343781
"21","MCU_003304-RA",926.934270161869,1.20761003981781,0.0956549287456091,12.624650456114,1.54425623590137e-36,1.0493588803006e-33,1288.97007708838,1377.1119578693,1308.34463018107,1201.45547074126,589.723725177508,516.139217336346,610.646422053863,523.082660847219
"22","MCU_004983-RA",751.101990542308,1.13411141599015,0.0907852104994526,12.4922485694626,8.22944109708962e-36,5.33791474797585e-33,1051.31338447955,986.272721325447,1073.35663299233,1020.72805882891,465.373035523465,453.530614049985,524.941661063847,433.299816074935
"23","MCU_000419-RA",3639.58665890223,-2.45830744472599,0.196876306189588,-12.4865581455937,8.83956845473265e-36,5.48437573256674e-33,1112.99527416428,1393.62629180777,1182.28336085586,791.63697330621,6417.24922669199,5066.71574888165,7225.21743989044,5926.96895561961
"24","MCU_003377-RA",13282.4703987062,1.03987781052961,0.0840835651970563,12.367194565223,3.93320341293611e-35,2.3386171959416e-32,16764.7747816661,17247.3868727415,17558.0094149463,19916.9244296927,8680.0549581239,8077.27334349291,8636.28511190463,9379.05427708148
"25","MCU_002070-RA",189.262543732609,-6.78320858238032,0.55349908737705,-12.2551395965709,1.57677589450119e-34,9.00023680581279e-32,7.25669290408661,0,4.89558327476547,1.27272825290388,256.237784741665,380.996256584078,387.201866615607,476.239437487767
"26","MCU_000211-RA",990.623238609452,-1.0329912790633,0.0845659082922157,-12.2152212389633,2.57799222139929e-34,1.4149211153603e-31,656.730707819838,666.078135518395,681.709971011091,594.36409410611,1304.74019068826,1233.84759647269,1383.51971312454,1403.9955001347
"27","MCU_007046-RB",13552.9914322728,-1.07937957423378,0.0885551056311303,-12.1887898675188,3.56678493951049e-34,1.88511189210425e-31,8851.35116975965,8631.49187184168,8428.97050332744,8916.73413984455,18474.5558697382,20898.2936652561,16398.6877501432,17823.8464882717
"28","MCU_014238-RA",251.805131743541,-6.86244526237232,0.564683936025395,-12.1527191134116,5.54888997090774e-34,2.82795213874476e-31,8.16377951709744,5.50477797949087,2.44779163738273,0,373.05206896213,309.988938222717,615.237748535471,700.04594909404
"29","MCU_013716-RA",434.282662036397,-4.91370834974309,0.410479815137476,-11.9706454947058,5.06331649722e-33,2.49150091087343e-30,34.4692912944114,26.6064269008725,20.8062289177532,29.2727498167891,568.998610235168,485.598435245438,813.430008324882,1495.07954555586
"30","MCU_004109-RA",116.900291840788,-6.4673545460496,0.553233745920084,-11.6900940944839,1.43227843209618e-31,6.8128710753375e-29,5.44251967806496,0.917462996581811,3.6716874560741,0,173.337324972303,268.758882399991,215.027123555308,268.047333667978
"31","MCU_003186-RA",471.376353724998,1.85245569335318,0.164596873867435,11.254501071783,2.20067949056701e-29,1.01302246227068e-26,697.549605405326,757.824435176576,747.800345220425,747.091484454575,200.656794669024,151.940390902268,219.618450036916,248.529323934873
"32","MCU_011727-RA",463.504029367085,-1.38458651903052,0.12465842027507,-11.1070436796432,1.15934390434831e-28,5.16994922345326e-26,239.470865834858,233.03560113178,302.302267216768,254.545650580775,608.564738761454,677.241842865886,716.246931130847,676.624337414313
"33","MCU_000053-RA",18705.2070154684,1.00744325853777,0.0911766335388701,11.0493579268671,2.20788303939759e-28,9.54742150672835e-26,22707.0991835,25054.0795106561,25328.5239678178,26846.9297667543,12322.0228839007,11729.9508815655,13972.1717046134,11680.878224939
"34","MCU_004792-RC",3591.61362149275,-2.93319260605323,0.265915504737399,-11.0305437396359,2.72214226278013e-28,1.14249912029037e-25,562.393700066712,890.856569680939,1167.59661103156,706.364180361651,6536.88966295005,4377.2575931794,7653.74124484052,6837.80940983119
"35","MCU_010240-RA",677.607902837942,-1.99091802276358,0.183001249214096,-10.8792591925663,1.44734411965898e-27,5.90102873929533e-25,253.984251643031,231.200675138616,268.033184293409,338.545715272431,1297.20378525468,1164.36731721587,922.856622803206,944.671671082291
"36","MCOS_0001049001-mRNA-1",447.00896334516,1.5898309049839,0.146233462278691,10.8718680403942,1.56953870514346e-27,6.22147703399921e-25,592.32755829607,615.617670706395,687.829450104548,787.818788547499,224.208061648957,232.109943890901,192.835712227536,243.324521339378
"37","MCU_008018-RA",1102.59099730871,0.909985824717411,0.0839591855801015,10.838430821238,2.2631958046983e-27,8.72859571163373e-25,1396.00629742366,1420.23271870864,1402.58460822031,1541.27391426659,757.408746074627,845.216144365881,725.429584094063,732.575965315881
"38","MCU_008757-RA",906.915364618986,-5.08212501623454,0.476300909703299,-10.6699880531413,1.40644466819666e-26,5.2815698460964e-24,57.1464566196821,42.2032978427633,48.9558327476547,59.8182278864821,729.147225698708,1015.48100452269,1738.58229436889,3563.98857726501
"39","MCU_000608-RA",1929.49694015212,-0.959820180065118,0.0904680772669138,-10.6094902098262,2.6921389670212e-26,9.85046745112629e-24,1295.31968337946,1288.11804720086,1351.18098383527,1305.81918747938,2873.25457155176,2336.36982995447,2378.30711747294,2607.60610034285
"40","MCU_012543-RA",246.40939485939,-11.2927729936769,1.06736347319574,-10.5800631905323,3.68709475019052e-26,1.31537105213047e-23,0,0,0,0,351.384903340592,422.989831959077,511.167681619023,685.732741956429
"41","MCU_011594-RA",1105.60588669299,-1.20304073834457,0.113930877600961,-10.5593914808431,4.59631713043759e-26,1.59974257198401e-23,650.381101528763,665.160672521813,637.649721538202,726.727832408113,1748.44606059018,1388.84206558404,1631.45134313137,1396.18829624146
"42","MCU_012704-RA",84.1828393410991,-4.59296674659359,0.440258132590505,-10.432440440267,1.76301056312318e-25,5.99003827042089e-23,7.25669290408661,11.0095559589817,0,7.63636951742325,143.191703237989,153.467430006813,162.226869016816,188.674094086684
"43","MCU_003369-RB",4291.56240666974,-0.897290676812734,0.0866742966766322,-10.3524425489183,4.07943162497566e-25,1.35380207647448e-22,2854.60157114507,3239.56184093038,3043.82890108543,2854.72947126339,5848.25061645682,5995.15552444525,5031.32860276209,5465.04272526945
"44","MCU_006137-RA",137.80312765152,-5.91602089346276,0.575576772117784,-10.2784218892213,8.81592352775936e-25,2.85916428957105e-22,8.16377951709744,0,8.56727073083957,1.27272825290388,217.613706894576,320.678211954535,275.479588896479,270.649734965725
"45","MCU_010505-RA",100.426094566691,-6.22342092587405,0.610018487328622,-10.2020201930724,1.94190560253788e-24,6.15799843293678e-22,2.72125983903248,1.83492599316362,4.89558327476547,1.27272825290388,112.104030824478,173.318938365903,215.792344635576,291.468945347704
"46","MCU_006635-RC",434.389440769573,-2.61588246021599,0.25675101939077,-10.1884014576576,2.23407414521376e-24,6.93048653308705e-22,102.500787270223,106.42570760349,146.867498242964,132.363738302003,803.569229355295,496.287708977256,695.585961963611,991.514894441744
"47","MCU_003732-RA",190.25681816226,-2.04276530088633,0.201836031396621,-10.1209149166838,4.46224711705228e-24,1.35481417787949e-21,73.4740156538769,83.4891326889448,61.1947909345683,78.9091516800403,263.774190175243,297.772625386354,381.080097973463,282.360540805588
"48","MCU_004820-RA",254.058488774152,-6.19721407040318,0.613885264689285,-10.0950689434448,5.80902408614865e-24,1.72697445227794e-21,4.53543306505413,3.66985198632725,18.3584372803705,1.27272825290388,271.310595608822,629.903630624979,616.768190696007,486.649042678756
"49","MCU_014191-RA",401.644413230006,-6.4857134535353,0.644049386720856,-10.0702113646237,7.48171255194889e-24,2.17885792074103e-21,19.9559054862382,8.2571669692363,0,6.36364126451938,527.548380350487,659.680893163614,707.064278167631,1284.28504043832
"50","MCU_010278-RA",163.446780909958,-7.93306569804698,0.789050654300859,-10.0539371646249,8.82687309187919e-24,2.51918958042232e-21,0,1.83492599316362,2.44779163738273,1.27272825290388,230.802416403338,184.008212097721,537.185198348135,350.02297454702
"51","MCU_006711-RA",77.5899583912758,-5.87504982212496,0.588692888698645,-9.97982128697401,1.86802930875458e-23,5.22681926194663e-21,3.62834645204331,2.75238898974543,3.6716874560741,0,121.524537616451,212.258435531811,167.583416578692,109.300854505389
"52","MCU_004795-RA",668.014977641595,-1.90037580927551,0.192264409660999,-9.88417883801925,4.87562650155837e-23,1.33798442648534e-20,253.984251643031,275.238898974543,219.077351545755,381.818475871163,915.673260179773,1059.00161900224,1081.25738641868,1158.06857749757
"53","MCU_010913-RA",219.995824818546,-4.43149760995203,0.454894814614975,-9.74180726527488,1.99965904562809e-22,5.38398765681373e-20,21.7700787122598,17.4317969350544,22.0301247364446,16.5454672877504,312.760825493503,302.35374269999,252.52295648844,814.551606194923
"54","MCU_007086-RA",539.667019234552,-1.469727799484,0.151640451082986,-9.69218825839343,3.25479094065313e-22,8.60108643020743e-20,309.316535036692,301.845325875416,288.839413211163,243.09109630464,647.188816608543,794.06033436361,819.551776967026,913.442855509323
"55","MCU_005046-RA",2275.50097486462,-0.92797953338635,0.0960246283448421,-9.66397422600591,4.28894950567741e-22,1.11278744447303e-19,1490.34330517679,1547.76007523352,1604.52741830438,1630.36489196986,3242.5384377971,3177.00485700671,2590.27335670718,2921.19545672141
"56","MCU_007875-RB",940.295052403819,-0.719588298904465,0.0750227165734237,-9.59160547325974,8.6724869232778e-22,2.20993550705668e-19,735.64724315178,694.519488412431,724.546324665289,684.727800062285,1207.70897073094,1081.90720557042,1175.37957929165,1217.92380734576
"57","MCU_006447-RA",1089.04097757032,-2.89695086185962,0.303317380282239,-9.5508897616219,1.28587117850651e-21,3.21918977496278e-19,229.492913091739,266.981732005307,319.436808678447,215.091074740755,1279.30482234993,1539.25541738177,1738.58229436889,3124.1827579457
"58","MCU_002160-RA",742.690335185791,1.58778091036403,0.167138578524547,9.49978708913597,2.10319876184336e-21,5.17459419508703e-19,980.560628664704,938.564645503193,1114.96909082784,1425.45564325234,390.951031866878,397.030167181805,337.462496398187,356.528977791388
"59","MCU_002244-RA",1671.06380319613,-1.23686669257676,0.132663419037325,-9.32334400509286,1.1273014843349e-20,2.72654104770491e-18,1130.22991981149,1029.39348216479,1036.63975843159,784.000603788787,2292.95135316622,2582.98664533855,2248.21953382738,2264.0891290402
"60","MCU_008154-RA",23745.1185587532,1.74614698113446,0.188154394438505,9.2803943609468,1.6885243214161e-20,4.01587367776795e-18,29717.0645288477,30624.9148259009,36347.2580234962,49647.8564175273,10734.6674894532,10549.5496537519,9759.62965773805,12580.0078733107
"61","MCU_011847-RA",405.994310829831,-1.92222804363128,0.208036713267085,-9.23985008916892,2.46842828934585e-20,5.77450355556809e-18,168.718110020014,186.244988306108,165.225935523334,156.545575107177,512.47556948333,681.822960179523,527.237324304651,849.684023714513
"62","MCOS_0000792601-mRNA-1",574.056894727714,-5.59187462256204,0.609214980820105,-9.17881995454945,4.35841215060478e-20,1.00313776434081e-17,36.2834645204331,13.7619449487272,37.9407703794324,5.0909130116155,759.292847433022,1879.02161814312,1370.51095475999,490.552644625377
"63","MCU_006712-RA",109.427752707134,-4.71243811465086,0.514476887987317,-9.15966921874055,5.20566370748106e-20,1.16070032977742e-17,9.07086613010827,14.679407945309,6.11947909345683,1.27272825290388,179.931679726684,196.988044486357,309.914537508539,157.445278513715
"64","MCU_010829-RC",371.025776735578,-2.09091834822917,0.228270163273817,-9.15984077043414,5.19739495051764e-20,1.16070032977742e-17,173.253543085068,150.463931439417,140.748019149507,98.0000754735984,602.91243468627,704.728546747704,455.306542759459,642.793120543598
"65","MCOS_0000817401-mRNA-1",1150.01274503942,1.5515989026237,0.170409377890732,9.10512626610609,8.61661491447123e-20,1.89167838199238e-17,1505.76377759797,1544.09022324719,1647.36377195858,2161.09257343078,520.954025596105,528.35553017271,584.628905324751,707.853152987282
"66","MCU_009298-RA",2232.28694914492,-1.33075379840937,0.146434368249577,-9.08771495596774,1.01142295336972e-19,2.18681902190696e-17,1073.99054980482,1256.92430531708,1216.55244377922,1534.91027300207,2716.87415880501,3157.91686819989,3606.48695130308,3294.64004294816
"67","MCU_006633-RA",1362.22809123761,-0.964966662761388,0.106716432362462,-9.04234372719544,1.53348023211546e-19,3.26608401675934e-17,934.299211401151,1048.66020509301,866.518239633488,837.45519041075,1794.60654387085,1676.68893679085,1750.06061057291,1989.53579212786
"68","MCU_009814-RA",1987.93817745249,0.8679027340062,0.0965622182296082,8.98801570550583,2.51734071709142e-19,5.2827135342492e-17,2696.76850048119,2749.63660075569,2457.58280393226,2371.09273515992,1323.5812042722,1584.30307096586,1388.11103960615,1332.42946444665
"69","MCU_006635-RA",200.302895073114,-2.78092928156817,0.309571435667094,-8.98315852551304,2.63103054297748e-19,5.44127620989691e-17,41.725984198498,49.5430018154178,45.2841452915806,67.4545974039054,353.269004698987,390.158491211351,207.374912752628,447.613023212546
"70","MCU_006511-RA",688.580579137756,-0.981746969511356,0.109509245238753,-8.96496882405633,3.10368650619154e-19,6.32708663476476e-17,481.662991508749,448.639405328506,477.319369289633,442.909432010549,1022.12498692907,913.932904070424,794.299481318183,927.756062646934
"71","MCU_002840-RB",8387.94627949281,-1.07494506599188,0.119935578310931,-8.9626871453031,3.1686060051379e-19,6.36845178779125e-17,5174.02204061376,5423.12377279509,5500.187809199,5503.27696555636,11873.6067606027,13163.8406007337,9201.01826914241,11264.4940172994
