"","Gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","B1","B2","B3","B4","ICR1","ICR2","ICR3","ICR4"
"1","MCU_003935-RE",24.7191407638581,-8.02167180078754,1.09077169982711,-7.35412534268993,1.92181335405949e-13,2.72762969341664e-09,0,0,0,0,55.8886885428109,40.7209627823571,49.1635334243984,51.9799413612983
"2","MCU_001595-RA",21207.4778694331,-0.936316986953777,0.142796008442477,-6.55702492784281,5.48918406246566e-11,3.89539946992875e-07,17271.229472624,15367.737627458,13936.2676731561,11654.9279310931,27628.622206304,26637.7744231665,26652.3708615901,30510.8927600728
"3","MCU_011041-RA",360.963301707654,-1.67592400752949,0.26363428903939,-6.35700315628929,2.05727767505928e-10,9.73298068070543e-07,119.476210580302,196.958465868036,185.673682938988,185.445649706269,591.243494584474,422.088441147893,734.994824694757,451.825644140516
"4","MCU_000473-RC",16.4479106586767,7.54021880477892,1.23085257846956,6.12601292524767,9.01084892745483e-10,3.19727447068416e-06,38.9869739788353,36.2631110442955,41.4313176806007,14.9018825656824,0,0,0,0
"5","MCU_000686-RB",54.5974466029413,9.27485454228185,1.52320086688899,6.0890554515144,1.13578778318134e-09,3.22404720133854e-06,272.908817851847,29.8637385070669,116.621486804654,17.3855296599627,0,0,0,0
"6","MCU_005290-RD",17.7614997287281,-7.54282050613908,1.25539232269902,-6.00833729006917,1.87435591703233e-09,4.43378892173998e-06,0,0,0,0,43.142145541819,14.0957178862005,36.8726500682988,47.9814843335061
"7","MCU_008376-RA",12.9054253394071,7.19356359219544,1.27920114275815,5.62348121162948,1.87147126533532e-08,3.79454166698631e-05,31.4411080474478,33.4189454721939,27.6208784537338,10.7624707418817,0,0,0,0
"8","MCU_003006-RA",10.6748073025,-6.81842713462499,1.30394913771437,-5.22905912310099,1.70374878202423e-07,0.000302266330790873,0,0,0,0,29.4150992330584,18.794290514934,27.8593356071591,9.32973306484842
"9","MCU_002535-RB",12.4909325430384,-7.04064475997828,1.3912964428568,-5.06049217341594,4.18175625547693e-07,0.000659462961488712,0,0,0,0,7.8440264621489,20.3604813911785,45.0665723056986,26.6563801852812
"10","MCU_005708-RC",9.0308143030726,-6.57397676337586,1.31912067384329,-4.98360528625666,6.24103287940118e-07,0.000885789796573409,0,0,0,0,13.7270463087606,30.5407220867678,10.6520989086197,17.3266471204328
"11","MCU_002958-RD",17.040437931541,-7.49096457642585,1.5199908252504,-4.92829591599133,8.29499184617379e-07,0.000981090160606205,0,0,0,0,24.5125826942153,16.4450042005673,86.0361834926973,9.32973306484842
"12","MCU_007074-RC",15.5436025785983,7.45520974320241,1.51218143325346,4.93010268428076,8.21864059866779e-07,0.000981090160606205,40.2446183007332,11.3766622884064,64.4487163920455,8.27882364760131,0,0,0,0
"13","MCU_006136-RA",45.9857995382156,2.12367513370131,0.445513152827229,4.76680681641935,1.87168615394404e-06,0.0020434493525329,75.4586593138748,89.5912155212006,61.3797298971862,71.1978833693712,9.80503307768613,15.661908762445,11.4714911323596,33.3204752316015
"14","MCU_001792-RA",347.41274617141,-0.569576489681541,0.120549441555282,-4.72483723137234,2.30299743141659e-06,0.00233474589600683,305.607570221193,294.371136712516,260.863852063041,256.643533075641,441.226488495876,413.474391328549,375.281638472908,431.833359001555
"15","MCU_003807-RD",14.1675607720431,-7.21483670131484,1.56336191923379,-4.61494975191084,3.93190433528238e-06,0.00372036788204419,0,0,0,0,27.4540926175212,15.661908762445,4.91635334243984,65.3081314539389
"16","MCU_011681-RA",172.121345954944,-0.998486169484947,0.220590036740283,-4.52643366962461,5.99874160608689e-06,0.00532125872594945,113.187988970812,101.678919202632,147.311351753247,100.173766135976,259.833376558682,196.556954968685,266.302472715492,191.925937334025
"17","MCU_004040-RA",6.23258204215285,-6.03714129592312,1.3656489754059,-4.42071235335476,9.83760559340816e-06,0.00821324330513188,0,0,0,0,20.5905694631409,11.7464315718338,8.19392223739974,9.32973306484842
"18","MCU_007487-RB",10.8727628353929,-6.84474085430783,1.55916107738094,-4.39001521626331,1.13342729429671e-05,0.00893707421552955,0,0,0,0,4.90251653884306,39.1547719061126,33.5950811733389,9.32973306484842
"19","MCU_004200-RB",298.786777842179,0.794516631458468,0.185458444142969,4.28406824574662,1.83506583771512e-05,0.0137079418077319,413.764981904413,378.274021089513,280.812264279627,442.08918278191,224.535257479012,242.759585817898,197.473525921334,210.585403463721
